data,d,T,noise,prior_acc,seed,variant,variant_name,tau,time,w0_auroc,w0_auprc,w0_f1,w0_shd_norm,comb_auroc,comb_auprc,comb_f1,comb_shd_norm,experiment,auroc,auprc,f1_opt,shd_norm,f1_topk,target,top_m,n_features,rmse,mae
synthetic,20.0,500.0,gaussian,0.6,4,C,FullModel,1.3148343563079834,40.25268363952637,0.8919741809767385,0.6440667764786726,0.7555555555550221,0.02894736842105263,0.9026588553402433,0.7083007459132928,0.7333333333328222,0.08421052631578947,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,4,F,HardMask,,33.05688166618347,0.6731823164048228,0.31178860572995293,0.5128205128200025,0.05,0.674678283511091,0.3848803937002241,0.5123966942143683,0.15526315789473685,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.6,4,A,NoPrior,1.0,38.845545291900635,0.9107295091949823,0.6610278366899477,0.8085106382973382,0.02368421052631579,0.911221270842722,0.6941224322642524,0.6999999999994949,0.11052631578947368,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,0,C,FullModel,1.7585816383361816,39.52542781829834,0.9560883620689655,0.863467406543504,0.85714285714233,0.02368421052631579,0.9203821656050956,0.8532386459478575,0.847999999999488,0.05,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,0,F,HardMask,,33.240060329437256,0.9316630747126436,0.8209052387290892,0.8709677419349563,0.021052631578947368,0.9587434858135495,0.89289740673407,0.8799999999994874,0.039473684210526314,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,0,A,NoPrior,1.0,42.64231562614441,0.8216594827586207,0.476725356525152,0.6031746031740841,0.06578947368421052,0.7890851187029531,0.5476368177133433,0.6201550387591805,0.12894736842105264,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,1,C,FullModel,1.6159310340881348,38.116825103759766,1.0,1.0,0.9999999999994644,0.0,0.9557017318464465,0.903979917206117,0.8623853211004087,0.039473684210526314,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,1,F,HardMask,,28.106284856796265,0.9457183441558442,0.8575588036767159,0.905660377357958,0.013157894736842105,0.9541600287784572,0.9088248954088225,0.8807339449536193,0.034210526315789476,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,1,A,NoPrior,1.0,34.815747022628784,0.9800121753246753,0.8971609901941618,0.9473684210520985,0.007894736842105263,0.9022046353872244,0.7858992523131493,0.7692307692302692,0.06315789473684211,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,2,C,FullModel,1.755098819732666,36.860708236694336,1.0,0.9999999999999998,0.9999999999994584,0.0,0.9406333170387268,0.9042862242780723,0.873786407766479,0.034210526315789476,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,2,F,HardMask,,29.675403118133545,0.9757139513108615,0.9609649122807017,0.9787234042547778,0.002631578947368421,0.9664602683178534,0.9282401281436612,0.8807339449536132,0.034210526315789476,synthetic,,,,,,,,,,
synthetic,20.0,500.0,gaussian,0.9,2,A,NoPrior,1.0,35.90465259552002,0.8560393258426966,0.639576581574213,0.666666666666159,0.034210526315789476,0.8300472543588072,0.6390645604015472,0.6428571428566315,0.10526315789473684,synthetic,,,,,,,,,,
